id,room_id,convenience_id,service_type_id,
1,1,1,2,
2,1,2,2,
3,1,3,2,
4,1,4,2,
5,1,5,2,
6,1,6,2,
7,1,7,2,
8,1,8,2,
9,1,9,2,
10,1,10,2,
11,2,2,1,
12,2,20,2,
13,2,21,2,
14,2,22,2,
15,2,23,2,
16,2,24,2,
17,2,25,2,
18,2,26,3,
19,2,27,3,
20,2,28,3,
21,3,1,1,
22,3,5,2,
23,3,6,2,
24,3,7,2,
25,3,8,2,
26,3,9,2,
27,3,72,6,
28,3,73,6,
29,3,74,7,
30,3,75,7,
31,4,2,1,
32,4,55,4,
33,4,56,4,
34,4,57,4,
35,4,58,4,
36,4,59,4,
37,4,60,4,
38,4,61,4,
39,4,62,4,
40,4,63,4,
41,5,1,1,
42,5,34,3,
43,5,35,3,
44,5,36,3,
45,5,37,3,
46,5,38,3,
47,5,39,3,
48,5,40,3,
49,5,41,3,
50,5,42,3,
51,6,2,1,
52,6,3,2,
53,6,4,2,
54,6,5,2,
55,6,6,2,
56,6,7,2,
57,6,8,2,
58,6,9,2,
59,6,10,2,
60,6,11,2,
61,7,1,1,
62,7,20,2,
63,7,21,2,
64,7,22,2,
65,7,23,2,
66,7,24,2,
67,7,25,2,
68,7,26,2,
69,7,27,3,
70,7,28,3,
71,8,1,2,
72,8,30,3,
73,8,31,3,
74,8,32,3,
75,8,33,3,
76,8,34,3,
77,8,35,3,
78,8,36,3,
79,8,37,3,
80,8,38,3,
81,9,2,1,
82,9,44,3,
83,9,45,3,
84,9,46,3,
85,9,48,3,
86,9,49,3,
87,9,50,3,
88,9,55,4,
89,9,56,4,
90,9,57,4,
91,10,1,1,
92,10,3,2,
93,10,4,2,
94,10,5,2,
95,10,6,2,
96,10,7,2,
97,10,8,2,
98,10,9,2,
99,10,10,2,
100,10,11,2,
